Record_ID,Week_Starting,Month,Quarter,Centre_Name,Centre_Type,Country,Agent_ID,Agent_Name,Team_Leader,Shift_Pattern,Contracted_Hours_pw,Calls_Handled,Emails_Handled,Chats_Handled,Total_Interactions,AHT_Seconds,ACW_Seconds,Hold_Time_Avg_Seconds,FCR_Percent,Quality_Score_Percent,Fatal_Error_This_Week,Performance_Band,CSAT_Score_1to5,NPS_Avg_Response_0to10,NPS_Score_Calculated,NPS_Responses_Count,Schedule_Adherence_Percent,Occupancy_Percent,Shrinkage_Percent,Absence_Days_This_Week,Return_To_Work_Discussion,Late_Arrivals,Coaching_Sessions_Attended,Training_Hours_Completed,Escalations,Complaints_Raised,Complaints_Resolved_Same_Week,Transfers_Out,Bookings_Handled,Amendments_Handled,Refunds_Processed,Baggage_Claims_Handled,Special_Assistance_Requests,Executive_Club_Queries,Disruption_Cases_Handled,Upsell_Revenue_GBP,SLA_Answered_Within_20s_Percent
BA00024,08/09/2025,September 2025,Q3 2025,Allorica Manila,Allorica,Philippines,AMN004,Christine Reyes,Gemma Ocampo,Early (07:00-15:00),30.0,94,22,28,144,302,64,41,83.4,83.1,N,Meets,3.8,8.7,48,13,88.4,76.9,13.4,2.5,Y,2,1,1.3,4,2,2,9,25,25,3,5,3,16,7,239,84.9
BA00025,08/09/2025,September 2025,Q3 2025,Allorica Manila,Allorica,Philippines,AMN005,Mark Villanueva,Ronald Sy,Late (13:00-21:00),25.0,84,20,19,123,314,74,52,81.9,82.2,N,Meets,3.7,8.4,39,12,93.1,82.5,16.9,0.3,Y,1,2,1.2,3,1,1,8,18,32,11,9,4,6,12,70,85.3
BA00026,08/09/2025,September 2025,Q3 2025,Allorica Manila,Allorica,Philippines,AMN006,Patricia Torres,Aileen Tan,Late (13:00-21:00),30.0,100,19,20,139,329,63,37,81.2,86.7,Y,Meets,3.8,7.1,3,18,91.9,86.1,13.1,2.5,Y,2,2,2.3,4,0,0,3,25,27,9,7,3,15,4,279,74.4
BA00027,08/09/2025,September 2025,Q3 2025,Allorica Manila,Allorica,Philippines,AMN007,Roberto Garcia,Gemma Ocampo,Standard (09:00-17:00),25.0,106,21,27,154,336,48,60,82.4,83.1,N,Meets,4.3,8.8,50,10,91.9,82.0,14.5,1.1,Y,0,3,1.7,4,0,0,9,11,22,7,10,2,9,10,285,82.5
BA00028,08/09/2025,September 2025,Q3 2025,Allorica Manila,Allorica,Philippines,AMN008,Marisol Bautista,Ronald Sy,Early (07:00-15:00),37.5,87,10,19,116,309,59,42,79.8,80.9,N,Meets,3.8,7.3,8,21,88.6,83.8,14.5,1.4,Y,1,2,1.5,5,0,0,4,22,22,12,10,6,7,4,130,83.6
BA00029,08/09/2025,September 2025,Q3 2025,Allorica Manila,Allorica,Philippines,AMN009,Eduardo Castillo,Aileen Tan,Standard (09:00-17:00),37.5,106,15,28,149,314,59,69,77.8,86.6,N,Meets,3.9,6.6,-11,22,90.9,81.0,13.9,1.4,Y,0,3,1.5,4,2,2,5,23,17,8,9,6,17,9,158,86.8
BA00030,08/09/2025,September 2025,Q3 2025,Allorica Manila,Allorica,Philippines,AMN010,Josephine Ramos,Gemma Ocampo,Early (07:00-15:00),37.5,89,17,13,119,362,74,64,72.2,84.4,N,Meets,3.8,8.8,50,20,94.7,76.8,16.7,2.2,Y,1,2,2.2,4,2,0,3,20,37,11,8,3,15,10,283,80.1
BA00031,08/09/2025,September 2025,Q3 2025,Allorica Krakow,Allorica,Poland,AKR001,Dawid Malinowski,Aleksander Nowak,Early (07:00-15:00),37.5,74,11,20,105,322,78,50,76.0,76.1,N,Developing,4.1,6.8,-6,8,86.2,73.7,16.9,1.3,Y,3,1,1.6,4,1,0,5,13,19,3,8,5,14,6,167,81.6
BA00032,08/09/2025,September 2025,Q3 2025,Allorica Krakow,Allorica,Poland,AKR002,Marta Jablonska,Katarzyna Wójcik,Late (13:00-21:00),37.5,79,11,17,107,346,84,50,68.0,80.1,N,Meets,4.2,7.2,6,17,86.0,84.5,19.5,2.7,Y,3,2,1.5,4,0,0,10,11,21,8,7,5,8,7,45,82.6
BA00033,08/09/2025,September 2025,Q3 2025,Allorica Krakow,Allorica,Poland,AKR003,Bartosz Kaczmarek,Piotr Kowalski,Late (13:00-21:00),37.5,95,12,10,117,346,64,78,77.4,83.2,N,Meets,3.7,7.8,22,11,89.2,81.1,19.8,2.7,Y,1,3,1.2,6,0,0,3,17,28,2,7,2,5,7,123,79.0
BA00034,08/09/2025,September 2025,Q3 2025,Allorica Krakow,Allorica,Poland,AKR004,Natalia Wisniewska,Aleksander Nowak,Late (13:00-21:00),37.5,81,11,12,104,331,66,70,79.6,78.0,N,Developing,3.7,8.3,36,13,91.0,78.6,14.6,1.5,Y,1,3,2.8,4,2,2,8,10,26,2,6,5,5,10,134,77.8
BA00035,08/09/2025,September 2025,Q3 2025,Allorica Krakow,Allorica,Poland,AKR005,Grzegorz Dabrowski,Katarzyna Wójcik,Standard (09:00-17:00),25.0,86,17,16,119,381,70,79,69.9,80.2,N,Meets,3.5,8.5,42,15,92.1,76.6,17.3,2.0,Y,1,1,3.4,3,0,0,10,11,17,5,4,4,11,8,178,73.7
BA00036,08/09/2025,September 2025,Q3 2025,Allorica Krakow,Allorica,Poland,AKR006,Monika Pawlak,Piotr Kowalski,Late (13:00-21:00),25.0,79,14,20,113,366,78,55,78.1,79.1,N,Developing,3.6,7.3,8,18,86.7,83.8,19.2,0.1,Y,0,2,1.7,1,3,2,10,10,35,5,2,1,16,8,102,82.8
BA00037,08/09/2025,September 2025,Q3 2025,Allorica Krakow,Allorica,Poland,AKR007,Szymon Kowalczyk,Aleksander Nowak,Early (07:00-15:00),30.0,83,9,22,114,310,67,49,79.8,83.7,N,Meets,3.9,7.6,17,20,84.7,80.9,14.2,2.3,Y,0,2,3.0,2,1,1,8,8,19,6,2,2,15,9,174,68.8
BA00038,08/09/2025,September 2025,Q3 2025,Allorica Krakow,Allorica,Poland,AKR008,Karolina Ostrowska,Katarzyna Wójcik,Standard (09:00-17:00),30.0,74,15,17,106,315,83,59,73.0,77.4,N,Developing,4.2,7.4,11,8,93.0,83.2,17.4,1.4,Y,0,2,2.8,4,0,0,4,10,24,11,4,1,6,7,199,77.1
BA00039,08/09/2025,September 2025,Q3 2025,Allorica Krakow,Allorica,Poland,AKR009,Marek Grabowski,Piotr Kowalski,Standard (09:00-17:00),37.5,105,19,15,139,324,85,53,72.6,79.7,N,Developing,4.1,7.6,17,14,86.4,78.4,17.3,1.5,Y,0,2,2.1,6,2,1,7,19,18,12,9,1,5,4,63,73.9
BA00040,08/09/2025,September 2025,Q3 2025,Allorica Krakow,Allorica,Poland,AKR010,Ewa Michalska,Aleksander Nowak,Split (08:00-16:00),37.5,93,20,12,125,355,77,43,79.6,76.3,N,Developing,3.9,7.6,17,13,84.0,79.1,15.2,1.0,Y,3,1,3.1,3,4,4,8,11,22,11,5,4,12,12,197,77.8
BA00041,15/09/2025,September 2025,Q3 2025,BA Waterside,Internal,United Kingdom,BWS001,Emma Thompson,Sarah Mitchell,Early (07:00-15:00),37.5,120,15,18,153,274,53,46,87.6,89.5,N,Meets,4.3,8.3,36,12,92.6,83.3,10.3,0.5,Y,1,2,0.7,2,1,1,6,25,44,14,4,2,10,7,456,83.6
BA00042,15/09/2025,September 2025,Q3 2025,BA Waterside,Internal,United Kingdom,BWS002,Oliver Harris,James Crawford,Late (13:00-21:00),37.5,90,23,24,137,272,46,38,85.0,94.0,N,Exceeds,4.6,8.7,48,27,95.2,81.1,9.3,0.4,Y,0,1,0.8,1,1,1,2,23,29,10,4,2,15,11,229,84.6
BA00043,15/09/2025,September 2025,Q3 2025,BA Waterside,Internal,United Kingdom,BWS003,Charlotte Davies,Priya Sharma,Standard (09:00-17:00),37.5,119,22,21,162,269,45,43,87.9,91.7,N,Exceeds,4.4,9.4,67,25,93.7,82.1,13.8,0.7,Y,0,2,1.7,2,0,0,1,28,23,8,9,6,14,13,180,87.7
BA00044,15/09/2025,September 2025,Q3 2025,BA Waterside,Internal,United Kingdom,BWS004,George Wilson,Sarah Mitchell,Early (07:00-15:00),25.0,104,25,17,146,314,46,36,90.5,92.1,N,Exceeds,4.7,8.1,31,16,93.4,79.5,9.2,0.2,Y,0,1,0.8,3,2,2,4,33,44,14,10,7,22,14,469,90.6
BA00045,15/09/2025,September 2025,Q3 2025,BA Waterside,Internal,United Kingdom,BWS005,Amelia Brown,James Crawford,Early (07:00-15:00),30.0,105,25,14,144,287,51,27,86.8,92.7,N,Exceeds,4.5,8.6,45,13,94.2,80.9,11.9,1.2,Y,0,2,1.2,0,2,1,4,33,40,8,8,6,15,13,217,94.5
BA00046,15/09/2025,September 2025,Q3 2025,BA Waterside,Internal,United Kingdom,BWS006,Harry Taylor,Priya Sharma,Split (08:00-16:00),37.5,113,18,20,151,293,51,41,89.5,93.7,N,Exceeds,4.4,8.0,28,21,94.3,85.7,12.1,0.1,Y,0,2,0.6,0,2,0,5,27,29,9,5,4,9,14,479,84.7
BA00047,15/09/2025,September 2025,Q3 2025,BA Waterside,Internal,United Kingdom,BWS007,Sophie Johnson,Sarah Mitchell,Early (07:00-15:00),37.5,107,24,22,153,315,45,51,85.2,91.0,N,Exceeds,4.6,9.1,59,28,92.6,84.7,11.1,0.5,Y,0,2,1.0,1,0,0,3,30,26,8,5,3,9,9,191,89.1
BA00048,15/09/2025,September 2025,Q3 2025,BA Waterside,Internal,United Kingdom,BWS008,Jack Roberts,James Crawford,Standard (09:00-17:00),37.5,119,16,20,155,309,59,44,91.3,89.4,N,Meets,4.3,8.9,53,26,92.3,81.6,12.3,0.2,Y,1,2,1.6,3,2,1,2,32,27,9,10,8,11,10,487,94.4
BA00049,15/09/2025,September 2025,Q3 2025,BA Waterside,Internal,United Kingdom,BWS009,Isabella Martin,Priya Sharma,Early (07:00-15:00),30.0,113,29,19,161,273,43,26,89.8,94.4,N,Exceeds,4.7,8.7,48,15,96.3,83.2,8.7,1.2,Y,0,1,0.9,1,1,0,4,17,27,18,10,4,22,5,352,83.6
BA00050,15/09/2025,September 2025,Q3 2025,BA Waterside,Internal,United Kingdom,BWS010,William Jackson,Sarah Mitchell,Standard (09:00-17:00),25.0,117,26,17,160,310,55,35,91.1,95.4,N,Exceeds,4.3,7.9,25,21,97.5,82.7,13.0,0.0,N,1,2,1.4,0,0,0,1,23,26,18,5,6,19,14,410,88.1
BA00051,15/09/2025,September 2025,Q3 2025,BA Newcastle,Internal,United Kingdom,BNC001,Liam White,Tom Blackwood,Split (08:00-16:00),37.5,93,15,12,120,323,57,31,84.3,91.1,N,Exceeds,4.2,7.7,20,21,89.1,79.7,13.7,0.2,Y,0,2,0.8,0,3,0,6,23,20,12,11,5,18,12,373,76.3
BA00052,15/09/2025,September 2025,Q3 2025,BA Newcastle,Internal,United Kingdom,BNC002,Grace Hall,Claire Atkinson,Split (08:00-16:00),30.0,105,12,18,135,300,63,36,85.7,82.7,N,Meets,4.3,7.9,25,15,89.1,78.9,12.0,0.7,Y,2,1,1.7,3,0,0,7,27,38,6,5,1,17,11,108,80.1
BA00053,15/09/2025,September 2025,Q3 2025,BA Newcastle,Internal,United Kingdom,BNC003,Noah Clark,Kevin Foster,Late (13:00-21:00),37.5,77,24,11,112,315,48,32,85.5,90.2,N,Exceeds,4.0,7.8,22,15,94.9,75.5,13.9,0.8,Y,1,1,1.7,3,2,2,5,26,30,9,5,4,17,11,278,88.9
BA00054,15/09/2025,September 2025,Q3 2025,BA Newcastle,Internal,United Kingdom,BNC004,Emily Lewis,Tom Blackwood,Standard (09:00-17:00),25.0,108,16,20,144,290,50,48,81.1,85.2,N,Meets,4.3,8.0,28,16,89.3,79.9,12.7,1.1,Y,2,2,1.4,3,3,1,4,13,20,14,9,3,14,14,171,89.3
BA00055,15/09/2025,September 2025,Q3 2025,BA Newcastle,Internal,United Kingdom,BNC005,Ethan Lee,Claire Atkinson,Split (08:00-16:00),37.5,84,25,17,126,308,52,32,84.1,88.5,N,Meets,4.3,8.0,28,15,91.0,83.4,13.4,0.5,Y,2,2,1.1,2,1,0,3,15,18,15,5,4,14,10,377,77.6
BA00056,15/09/2025,September 2025,Q3 2025,BA Newcastle,Internal,United Kingdom,BNC006,Mia Walker,Kevin Foster,Late (13:00-21:00),37.5,91,23,15,129,313,45,58,88.0,90.5,N,Exceeds,4.4,8.4,39,23,95.9,82.3,14.3,0.2,Y,2,2,1.8,1,3,1,7,17,29,12,6,1,9,6,211,87.1
BA00057,15/09/2025,September 2025,Q3 2025,BA Newcastle,Internal,United Kingdom,BNC007,Lucas Allen,Tom Blackwood,Standard (09:00-17:00),37.5,76,17,16,109,330,63,60,83.3,86.0,N,Meets,4.4,8.1,31,23,92.6,76.4,11.9,0.1,Y,0,2,1.2,4,1,0,4,16,35,14,5,7,8,10,347,88.7
BA00058,15/09/2025,September 2025,Q3 2025,BA Newcastle,Internal,United Kingdom,BNC008,Ava Scott,Claire Atkinson,Early (07:00-15:00),37.5,78,25,9,112,345,70,63,86.9,84.3,N,Meets,4.4,7.8,22,14,89.6,85.5,11.6,1.9,Y,2,2,1.4,0,1,1,6,17,36,13,5,2,16,13,262,87.8
BA00059,15/09/2025,September 2025,Q3 2025,BA Newcastle,Internal,United Kingdom,BNC009,Mason Young,Kevin Foster,Split (08:00-16:00),37.5,77,25,8,110,324,60,31,83.0,87.7,N,Meets,4.3,9.0,56,14,93.1,78.3,11.5,0.4,Y,2,2,0.9,0,2,2,7,13,23,11,9,4,13,7,264,84.5
BA00060,15/09/2025,September 2025,Q3 2025,BA Newcastle,Internal,United Kingdom,BNC010,Isla King,Tom Blackwood,Late (13:00-21:00),37.5,95,25,19,139,320,43,50,80.4,85.7,N,Meets,4.0,9.1,59,17,90.0,76.1,11.7,0.3,Y,1,2,0.9,1,2,1,8,22,36,15,8,2,18,6,345,89.9
BA00061,15/09/2025,September 2025,Q3 2025,Allorica Manila,Allorica,Philippines,AMN001,Jayson Dela Cruz,Gemma Ocampo,Late (13:00-21:00),37.5,109,17,21,147,340,46,38,75.4,82.2,N,Meets,4.1,6.8,-6,20,92.1,79.1,12.0,2.4,Y,0,2,1.3,3,3,3,7,22,27,3,8,1,14,11,109,77.4
BA00062,15/09/2025,September 2025,Q3 2025,Allorica Manila,Allorica,Philippines,AMN002,Rosalie Mendoza,Ronald Sy,Split (08:00-16:00),30.0,98,11,24,133,307,57,58,81.5,81.2,N,Meets,3.9,8.4,39,15,92.8,78.2,15.1,1.7,Y,2,1,1.1,2,2,2,7,25,32,10,4,5,13,5,143,86.0
BA00063,15/09/2025,September 2025,Q3 2025,Allorica Manila,Allorica,Philippines,AMN003,Brian Santos,Aileen Tan,Early (07:00-15:00),37.5,100,12,24,136,363,60,54,77.7,88.3,N,Meets,3.7,8.3,36,15,92.1,86.8,15.5,0.8,Y,2,3,2.3,5,2,2,9,18,36,12,5,6,5,12,182,74.6
BA00064,15/09/2025,September 2025,Q3 2025,Allorica Manila,Allorica,Philippines,AMN004,Christine Reyes,Gemma Ocampo,Early (07:00-15:00),30.0,104,12,19,135,348,49,61,80.3,84.4,Y,Meets,4.0,8.8,50,22,91.5,81.2,17.1,0.5,Y,2,1,2.4,5,0,0,5,27,26,13,9,5,11,8,104,78.9
BA00065,15/09/2025,September 2025,Q3 2025,Allorica Manila,Allorica,Philippines,AMN005,Mark Villanueva,Ronald Sy,Late (13:00-21:00),25.0,114,15,23,152,330,62,54,74.7,89.6,N,Meets,4.4,8.6,45,14,92.9,83.8,16.1,1.2,Y,1,2,2.0,5,2,2,6,19,19,12,10,4,11,8,257,84.1
BA00066,15/09/2025,September 2025,Q3 2025,Allorica Manila,Allorica,Philippines,AMN006,Patricia Torres,Aileen Tan,Late (13:00-21:00),30.0,98,10,21,129,363,53,70,80.4,82.1,N,Meets,3.8,6.8,-6,19,92.7,78.6,12.3,1.9,Y,2,1,2.3,1,3,2,3,23,26,14,9,1,15,5,61,86.5
BA00067,15/09/2025,September 2025,Q3 2025,Allorica Manila,Allorica,Philippines,AMN007,Roberto Garcia,Gemma Ocampo,Standard (09:00-17:00),25.0,90,16,27,133,306,65,49,78.4,80.6,N,Meets,4.2,7.1,3,10,94.2,77.9,17.3,0.7,Y,0,1,3.0,4,2,1,9,15,25,3,2,3,14,12,87,85.9
BA00068,15/09/2025,September 2025,Q3 2025,Allorica Manila,Allorica,Philippines,AMN008,Marisol Bautista,Ronald Sy,Early (07:00-15:00),37.5,101,14,26,141,319,70,42,76.0,84.7,N,Meets,4.2,7.8,22,20,88.3,78.0,16.4,2.1,Y,1,3,2.3,2,3,1,4,22,29,11,7,1,11,13,84,74.8
BA00069,15/09/2025,September 2025,Q3 2025,Allorica Manila,Allorica,Philippines,AMN009,Eduardo Castillo,Aileen Tan,Standard (09:00-17:00),37.5,88,17,22,127,337,54,35,75.1,82.7,N,Meets,4.0,6.6,-11,13,86.6,77.3,13.8,1.1,Y,1,3,2.0,3,3,1,3,19,27,12,5,2,7,10,99,78.8
BA00070,15/09/2025,September 2025,Q3 2025,Allorica Manila,Allorica,Philippines,AMN010,Josephine Ramos,Gemma Ocampo,Early (07:00-15:00),37.5,103,16,27,146,305,61,63,78.3,86.0,N,Meets,4.0,8.4,39,19,87.0,85.1,17.4,1.7,Y,0,3,2.1,2,1,0,7,26,30,4,5,6,14,10,83,85.5
BA00071,15/09/2025,September 2025,Q3 2025,Allorica Krakow,Allorica,Poland,AKR001,Dawid Malinowski,Aleksander Nowak,Early (07:00-15:00),37.5,98,20,10,128,349,51,65,70.3,82.4,N,Meets,3.5,7.4,11,11,88.8,73.5,16.8,1.7,Y,0,3,3.5,1,3,0,10,9,23,8,4,2,16,9,135,82.9
BA00072,15/09/2025,September 2025,Q3 2025,Allorica Krakow,Allorica,Poland,AKR002,Marta Jablonska,Katarzyna Wójcik,Late (13:00-21:00),37.5,94,15,16,125,332,84,65,73.9,78.8,N,Developing,4.0,7.8,22,11,91.3,82.1,21.8,2.0,Y,3,3,2.8,4,4,1,9,15,21,9,7,2,8,6,68,67.5
BA00073,15/09/2025,September 2025,Q3 2025,Allorica Krakow,Allorica,Poland,AKR003,Bartosz Kaczmarek,Piotr Kowalski,Late (13:00-21:00),37.5,96,17,22,135,367,53,55,76.6,81.5,N,Meets,3.8,8.3,36,11,88.4,82.1,20.2,0.2,Y,1,3,3.5,2,1,0,8,18,21,6,4,5,7,9,116,71.4
BA00074,15/09/2025,September 2025,Q3 2025,Allorica Krakow,Allorica,Poland,AKR004,Natalia Wisniewska,Aleksander Nowak,Late (13:00-21:00),37.5,105,17,21,143,358,83,60,76.1,78.8,N,Developing,3.8,7.7,20,12,86.8,82.1,17.8,0.1,Y,1,2,3.1,2,3,3,10,9,31,8,8,5,12,5,139,70.9
